OBS-ID,Spectral WL,Raster step,Raster FOV,Spectral cadence,SJI WL,SJI cad,SJI FOV,Description,Total Datarate (Mbit/s)
1,default,0.33,0.3x30,1s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,60x60,Small sit-and-stare,0
2,default,0.33,0.3x60,1s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,60x60,Medium sit-and-stare,0
3,default,0.33,0.3x120,1s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,120x120,Large sit-and-stare,0
4,default,0.33,0.3x175,1s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,175x175,Very large sit-and-stare,0
5,default,0.33,0.33x30,2s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,60x60,Small dense 2-step raster,0
6,default,0.33,0.33x60,2s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,60x60,Medium dense 2-step raster,0
7,default,0.33,0.33x175,2s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,175x175,Very large dense 2-step raster,0
8,default,1,1x60,2s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,60x60,Medium sparse 2-step raster,0
9,default,1,1x120,2s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,120x120,Large sparse 2-step raster,0
10,default,1,1x175,2s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,175x175,Very large sparse 2-step raster,0
11,default,2,2x60,2s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,60x60,Medium coarse 2-step raster,0
12,default,2,2x120,2s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,120x120,Large coarse 2-step raster,0
13,default,2,2x175,2s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,175x175,Very large coarse 2-step raster,0
14,default,0.33,1x30,4s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,60x60,Small dense 4-step raster,0
15,default,0.33,1x60,4s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,60x60,Medium dense 4-step raster,0
16,default,0.33,1x175,4s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,175x175,Very large dense 4-step raster,0
17,default,1,3x60,4s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,60x60,Medium sparse 4-step raster,0
18,default,1,3x120,4s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,120x120,Large sparse 4-step raster,0
19,default,1,3x175,4s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,175x175,Very large sparse 4-step raster,0
20,default,2,6x60,4s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,60x60,Medium coarse 4-step raster,0
21,default,2,6x120,4s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,120x120,Large coarse 4-step raster,0
22,default,2,6x175,4s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,175x175,Very large coarse 4-step raster,0
23,default,0.33,2.32x30,8s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,60x60,Small dense 8-step raster,0
24,default,0.33,2.32x60,8s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,60x60,Medium dense 8-step raster,0
25,default,0.33,2.32x175,8s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,175x175,Very large dense 8-step raster,0
26,default,1,7x60,8s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,60x60,Medium sparse 8-step raster,0
27,default,1,7x120,8s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,120x120,Large sparse 8-step raster,0
28,default,1,7x175,8s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,175x175,Very large sparse 8-step raster,0
29,default,2,14x60,8s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,60x60,Medium coarse 8-step raster,0
30,default,2,14x120,8s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,120x120,Large coarse 8-step raster,0
31,default,2,14x175,8s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,175x175,Very large coarse 8-step raster,0
32,default,0.33,5x60,16s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,60x60,Medium dense 16-step raster,0
33,default,0.33,5x120,16s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,120x120,Large dense 16-step raster,0
34,default,0.33,5x175,16s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,175x175,Very large dense 16-step raster,0
35,default,1,15x60,16s,C II Si IV Mg II h/k Mg II wing,10s 10s 10s 10s,60x60,Medium sparse 16-step raster,0
